angle,correction
0.0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.060000000000000005,0
0.07,0
0.08,0
0.09,0
0.09999999999999999,0
0.10999999999999999,0
0.11999999999999998,0
0.12999999999999998,0
0.13999999999999999,0
0.15,0
0.16,1
0.17,1
0.18000000000000002,1
0.19000000000000003,1
0.20000000000000004,1
0.21000000000000005,1
0.22000000000000006,1
0.23000000000000007,1
0.24000000000000007,1
0.25000000000000006,1
0.26000000000000006,1
0.2700000000000001,1
0.2800000000000001,1
0.2900000000000001,1
0.3000000000000001,1
0.3100000000000001,1
0.3200000000000001,1
0.3300000000000001,1
0.34000000000000014,1
0.35000000000000014,1
0.36000000000000015,1
0.37000000000000016,1
0.38000000000000017,2
0.3900000000000002,2
